Anzsic,Anzsic_descriptor,Gas,Period,Data_value,Variable,Units,Magnitude
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.03,10874,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.06,11005,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.09,10995,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2010.12,10911,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.03,11013,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.06,11103,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.09,11132,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2011.12,11109,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2012.03,11328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2012.06,11395,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2012.09,11428,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2012.12,11456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2013.03,11361,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2013.06,11375,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2013.09,11469,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2013.12,11485,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2014.03,11600,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2014.06,11534,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2014.09,11520,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2014.12,11529,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.03,11390,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.06,11402,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.09,11392,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2015.12,11376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.03,11244,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.06,11240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.09,11241,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2016.12,11243,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2017.03,11160,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2017.06,11175,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2017.09,11334,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2017.12,11330,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.03,11240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.06,11291,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.09,11513,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2018.12,11415,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2019.03,11660,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2019.06,11591,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2019.09,11219,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2019.12,11295,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2020.03,11560,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2020.06,11530,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2020.09,11323,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2020.12,11275,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2021.03,11215,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2021.06,11456,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2021.09,11448,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2021.12,11003,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
AAZ,"Agriculture, forestry, fishing",Carbon dioxide equivalents,2022.03,11060,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
